text,category,priority,split,department,is_roman
at block 2 buffer zone the sewerage line is choked and dirty water is on the street for two days now our family has been facing this for several days now again the sewerage line is choked and dirty water is on the street,drainage,medium,train,Drainage & Sewerage,0
"Respected sir, street light band hai kai hafton se near on Nishar Road. we have been wiating for a response for a while now. Our family has been facing this for several days now Shukriya.",electricity,medium,train,Electricity & Streetlights,1
Reporting an issue - residents near near the bus stop in Lyari are affected because street light band hai kai hafton se. this has become a serious health hazard for the whole area. Two schools and a clinic are on the same stretch Please do the needful??!,electricity,high,test,Electricity & Streetlights,1
"At Block 5, Gulberg Town, the newly laid patch has already sunk in the middle since Friday. kindly look into it whenever a team is free",road,low,train,Roads & Infrastructure,0
Please be informed that loadshedding ka koi schedule nahi hai near Gulberg Town. dengue and gastro cases have started appearing in the area Kindly resolve it soon.,electricity,high,train,Electricity & Streetlights,1
sarak par bara gaddha ban gaya hai — Model Colony. we have been waiting for a response for a while now,road,medium,test,Roads & Infrastructure,1
problem area house 4-b shah faisal colony details: shlpkeepers throw their leftovers directly ontto the pavement here since yesterday plase do the needful again shopkeepers throw theiir leftovers directly onto the pavement hree,waste,medium,test,Sanitation & Solid Waste,0
"Assalam o alaikum, nali band hai aur pani khara hai at near the flyover ramp in Clifton, since yesterday. kindly look into it whenever a team is free. Low priority, only mentioning it so it is on record Shukriya. Bara meherbani ho gi, jaldi masla hal karain.",drainage,low,train,Drainage & Sewerage,1
Please be informed that the main water pipe is leaking badly for the past six weeks at New Karachi Please take action,water,high,train,Water Supply,0
"Assalam o alaikum, sewerage ka pani gali me phail gaya hai in front of House 4-B, Gulshan-e-Iqbal, and the whole block has been suffering and tempers are rising",drainage,high,train,Drainage & Sewerage,1
Assalam o alaikum speed breaker toota hua hai in front of Gulberg Town and kindly send someone to look at it in the next few days It is causing inconvenience and should be fixed soon??!,road,medium,train,Roads & Infrastructure,1
line ka joint phat gaya hai aur pani zaya ho raha hai — Lane 3 Baldia Town this has become a serious health hazard for the whole area !!!!,water,high,test,Water Supply,1
"Respected sir, the speed breaker is broken & has sharp edges since Friday at Liaquatabad Sector 11-B. Thank you.",road,low,train,Roads & Infrastructure,0
the drain is blocked and the water is not going anywhere at North Nazimabad.,drainage,medium,train,Drainage & Sewerage,0
"nali band hai aur pani khara hai at Blokc 13-D, Bahadurabad near the children's park.",drainage,critical,train,Drainage & Sewerage,1
"Kindly note that the garbage container is overflowing onto the road in front of New Karachi Block 5 near the school van stop, and an elderly man fell into it and had to be taken to emergency. There is a serious risk of a fatal accident here",waste,critical,train,Sanitation & Solid Waste,0
At Liaquatabad the valve man is not opening our valve at the scheduled time for the last three days our family has been facing this for several days now,water,medium,train,Water Supply,0
the road has caved in after the rain at near the vegetable market in kemari this has been the case for two days now our family has been facing this for several days now,road,medium,train,Roads & Infrastructure,0
water is coming with very low pressure. Location: near the flyover ramp in Lyari. kindly send someone to look at it in the next few days plz tke action.,water,medium,train,Water Supply,0
the whole block has been suffering and tempers are rising There is a government school right next to it and hundreds of children pass daily road bilkul toot gayi hai at Buffer Zone near Jinnah Hospital emergency gate Please take action Bara meherbani ho gi jaldi masla hal karain,road,high,train,Roads & Infrastructure,1
"At on Nishtar Road, clean drinking water has not reached our houses for two days now. just a rputine request, nothing urgent at all!!!",water,low,train,Water Supply,0
the sewer line was never connected to the main trunk at near the flyover ramp in Nazimabad. This has been the case since this morning. this is only a suggestion for improvement,drainage,low,train,Drainage & Sewerage,0
"assalam o alaikum, speed breaker toota hua hai since yesterday at block 5, buffer zone. please take action. bara meherbani ho gi, jaldi masla hal karain.",road,low,train,Roads & Infrastructure,1
To the concerned department jo pani aata hai wo gandha aur badbuddar hai at near the katchi abadi in Saddar since Friday please arrange for the concerned staff to check it Our family has been facing ths for several days now Please take action,water,medium,train,Water Supply,1
"At Plot 22, Korangi, safai bilkul nahi hoti yahan since yesterday. it is a small issue but please note it for the record. There is no urgency, just registering it formally Bara meherbani ho gi, jaldi masla hal karain. Again, safai bilkul nahi hoti yahan.",waste,low,train,Sanitation & Solid Waste,1
At on Rashid Minhas Road rain water from the last spell has still not drained out since Friday we have complained at the local office twice already with no result,drainage,medium,train,Drainage & Sewerage,0
we have been waiting for a response for a while now sweepers have not come to clean this lane at near the community centre in gulberg town. thank you.,waste,medium,train,Sanitation & Solid Waste,0
"Reporting from Block A, Shha Faisal Colony near a primary school: the storm drain outlet has been sealed by an illegal construction.",drainage,high,test,Drainage & Sewerage,0
"stray cattle are tid up on public land and nobody removes them at near the perol pump in DHA Phase 6 near a maternity home and nobody has come to check since the last monsoon. please treat this as urgent, the situation is getting worse daily !!!!",other,high,train,General Administration,0
"At Phase 2, Malir near the children's park, construction malba has been dumped on the empty plot for almost a month. a child was injrued here yesterday and we fear a worse accident Again, construction malba has been dumped on the empty plot.",waste,critical,train,Sanitation & Solid Waste,0
Kindly note that the pole mounted box is open and children can reach the terminals in front of House 4-B North Nazimabad and low priority only mentioning it so it is on record,electricity,low,train,Electricity & Streetlights,0
"broken road with loose gravel everywhere at Surjani Town Street 14 near Jinnah Hospital emergency gate. This has been the case since Ramzan. there is a government school right next to it and hundreds of children pass daily Again, broken road with loose gravel everywhere!!!",road,high,train,Roads & Infrastructure,0
"Reporting from Block 5, North Nazimabad: safai wale hamari gali chor kar chale jate hain. Bara meherbani ho gi, jaldi masla hal karain.",waste,medium,test,Sanitation & Solid Waste,1
"it is a small issue but please note it for the record. Kindly look into it whenever a team is free jo pani aata hai wo gandha aur badbudar hai at Block 5, Kemari. Shukriya. Bara meherbani ho gi, jaldi masla hal karain.",water,low,train,Water Supply,1
Kindly note that yahan khadde hi khadde hain near near the bus stop in Nazimabad near a maternity home. a person has already been injured because of this. A child was injured here yesterday and we fear a worse accident Thank you.,road,critical,train,Roads & Infrastructure,1
half the lights on this stretch were never replaced after the storm at near a bank branch in PECHS!!!,electricity,low,train,Electricity & Streetlights,0
the manhole is spilling sewage continuously. Location: on Mariipur Road near Jinnah Hospital emergency gate. it is urgent because a school is right beside it Shukriya.,drainage,high,train,Drainage & Sewerage,0
"sweepers have not come to clean this lane at House 4-B, Orangi Town. This has been the case since Friday. low priority, only mentioning it so it is on record",waste,low,train,Sanitation & Solid Waste,0
a huge heap of trash is lying at the corner at on Sharae Noor Jehan near Jinnah Hospital emergency gate.,waste,high,train,Sanitation & Solid Waste,0
"Respected sir, the footpath tiles are uprooted and pedestrians walk on the road for over two weeks at Phase 2, Landhi near a government girls school. Shukriya.",road,high,train,Roads & Infrastructure,0
"I want to report that the road is uneven and bikes lose balance on it at Blcok 2, Kemari near a primary school, since Ramzan. an ambulance could not reach the hospital gate because of it Thank you.",road,critical,train,Roads & Infrastructure,0
"transformer bar bar trip kar raha hai at nesr the flyover rmap in DHA Phase 6. Again, transformer bar bar trip kar raha hi.",electricity,medium,train,Electricity & Streetlights,1
"Dear municipal team, the following problem at Sector 11-B, Sdadar: voltage itna kam hai ke pankha nahi chalta. it is causing inconvenience and shoukd be fixed soon",electricity,medium,test,Electricity & Streetlights,1
"Please be informed that stray dogs and cats tear open the bags and scatter the waste since Friday at Phase 2, Jamshed Road. Thank you.",waste,medium,train,Sanitation & Solid Waste,0
"Assalam o alaikum, loadshedding ka koi schedule nahi hai near near the mobile market in Buffer Zone. there is no urgency, just registering it formally Please take action.",electricity,low,train,Electricity & Streetlights,1
We the residents of Block 5 Nazimabad report that chain lifting on motorcycles happens almost every evening at this turn please arrange for the concerned staff to check it,safety,medium,test,Public Safety,0
"kindly note that nalah kachre se bhar gaya hai in front of near the community centre in landhi, and it is extremely urgent, please treat it as an emergency",drainage,critical,train,Drainage & Sewerage,1
"loudspeakers from a marriage hall run past midnight every weekend. Location: on Korangi Road near the school van stop. many families and children are affected by it every single day. Please treat this as urgent, the situation is getting worse daily Thank you!!!",other,high,train,General Administration,0
STRAY CATTLE ARE TIED UP ON PUBLIC LAND AND NOBODY REMOVES THEM AT PLOT 22 GULBERG TOWN THS HAS BEEN THE CASE FOR THE LAST THHREE DAYS WE HAVE BEEN WAITING FOR A RESPONSE FOR A WHILE NOW,other,medium,train,General Administration,0
We the residents of on Hub River Road report that every street light on this avenue has been dead since the pole was hit. please arrange for the concerned staff to check it,electricity,medium,test,Electricity & Streetlights,0
"Kindly note that the garbage container is overflowing onto the road for the past six weeks at Block 5, Nazimabad. Kindly resolve it soon. Again, the garbage container is overflowing onto the road.",waste,high,train,Sanitation & Solid Waste,0
the meter reading is being estimated and the bill is impossible Location: on Korangi Road elderly patients live in this lane and cannot step outside We request immediate attention Again the meter reading is being estimated and the bill is impossible,electricity,high,train,Electricity & Streetlights,0
"kachra utha nahi hai kai din se. Location: Block 13-D, North Nazimabad. there is no urgency, please handle it in the routine schedule. This is a minor issue, whenever it is convenient Please take action !!!!",waste,low,train,Sanitation & Solid Waste,1
"For since yesterday now, patch dala tha wo dobara ukhar gaya around New Karachi Street 14. Requesting the department to act.",road,medium,test,Roads & Infrastructure,1
"road pe khudai kar ke chor di gayi hai at near the community centre in Gulberg Town. Bara meeherbani ho gi, jaldi masla hal karain.",road,critical,train,Roads & Infrastructure,1
"Respected sir, there is no electricity in our block since the last monsoon at on Hub River Road. We request immediate attention.",electricity,high,train,Electricity & Streetlights,0
"I want to report that sarkari daftar me koi sunwai nahi hoti near near the petrol pump in Jamshed Road. the whole block has been suffering & tempers are rising Please take action. Again, sarkari daftar me koi sunwai nahi hoti.",other,high,train,General Administration,1
Reporting from near the petrol pump in Baldia Town: gande pani ki wajah se ghar me se bo aa rahi hai.,drainage,high,test,Drainage & Sewerage,1
"To the concerned department, a pack of stray dogs is attacking people since the last monsoon at Baldia Town near a madrassa. We request immediate attention.",safety,critical,train,Public Safety,0
"Respected sir, hospital waste has been mixed with the household garbage in front of near the mobile market in Gulshan-e-Iqbal, and we have been waiting for a response for a while now",waste,medium,train,Sanitation & Solid Waste,0
SWEEPERS HAVE NOT COME TO CLEAN THIS LANE AT BUFFFER ZONE BLOCK 5.,waste,medium,train,Sanitation & Solid Waste,0
"valve wala time par valve nahi kholta at near a bank branch in Nazimabad. This has been the case for the last three days. this is a minor issue, whenever it is convenient. Just a routine request, nothing urgent at all",water,low,train,Water Supply,1
a pack of stray dogs is attacknig people at near the main moosque in Orangi Town near Aga Khan Hospital and nobody has come to check for almost a month. a live wire is lying in the standing water,safety,critical,train,Public Safety,0
"FOR FOR TWO DAYS NOW NOW, SAFAI BILKUL NAHI HOTI YAHAN AROUND STREET 14, NEW KARACHI. REGARDS.",waste,medium,test,Sanitation & Solid Waste,1
stray dogs & cats tear open the bags & scatter the waste at PEHCS Sector 5-C.,waste,low,train,Sanitation & Solid Waste,0
"KINDLY NOTE THAT SAFAI BILKUL NAHI HOTI YAHAN SINCE THE LAST MONSOON AT NEAR THE PETROL PUMP IN GULBERG TOWN. PLEASE TAKE ACTION. BARA MEHERBANI HO GI, JALDI MASLA HAL KARAIN.",waste,high,train,Sanitation & Solid Waste,1
"Reporting from North Nazimabad Block A: sarak par bara gaddha ban gaya hai. Bara meherbani ho gi, jaldi masla hal karain.",road,low,test,Roads & Infrastructure,1
"At Baldia Town Block 5 near a primary school, hospital waste has been mixed with the household garbage for two days now. dengue and gastro cases have started appearing in the area",waste,high,train,Sanitation & Solid Waste,0
"Kindly note that there are deep potholes all along this stretch since yesterday at Block 2, New Karachi. We request immediate attention.",road,medium,train,Roads & Infrastructure,0
the newly laid patch has already sunk in the middle at on I I Chundrigar Road and nobody has come to check for several months many families and children r affected by it every single day!!,road,high,train,Roads & Infrastructure,0
"waste water has started seeping into the ground floor rooms at Street 14, Gadap Town and nobody has come to check for two days now. our family has been facing this for several days now. We have been waiting for a response for a while now",drainage,medium,train,Drainage & Sewerage,0
sewage water has entered our lane at baldia town near a government girls school and nobody has come to check for several months. the entire street of about forty houses is affected,drainage,high,train,Drainage & Sewerage,0
"banners and hoardings are blocking the view at the intersection at plot 22, malir.",other,medium,train,General Administration,0
kachra utha nahi hai kai din se — on Abul Hasan Isphahani Road. a person has already been injured because of this,waste,critical,test,Sanitation & Solid Waste,1
Problem area on Rashid Minhas Road. Details: paani ka pressure bohot kam hai since this morning. Regards.,water,medium,test,Water Supply,1
Kindly note that there has been no water supply in our line near Baldia Town please look into it in the coming days We request immediate attention,water,medium,train,Water Supply,0
water is coming with very low pressure at near the flyover ramp in Bahadurabad and nobody has come to check for two days now. denguue and gastro cases have started appearing in the arae,water,high,train,Water Supply,0
"sarak par bara gadha ban gaya hai at Phase 2, Korangi.",road,medium,train,Roads & Infrastructure,1
"TO THE CONCERNED DEPARTMENT, PURANI DEEWAR GIRNE WALI HAI NEAR BLOCK A, NORTH NAZIMABAD NAR THE SCHOOL VAN STOP. DENGUE AND GASTRO CASES HAVE STARTED APPEARING IN THE AREA. THE ENTIRE STREET OF ABOUT FORTY HOUSES IS AFFECTED KINDLY RESOLVE IT SOON??!",safety,high,train,Public Safety,1
"to the concerned department, sfai billkul nahi hoti yahan in front of near the union council offfice in dha phase 6, and please treat this as urgent, the situation is getting worse daily bara meherbani ho gi, jaldi masla hal karain.",waste,high,train,Sanitation & Solid Waste,1
WE CANNOT GET OUR PROPERTY TAX CHALLAN CORRECTED AT THE OFFICE AT CLIFTON.,other,medium,train,General Administration,0
"Respected sir, st light band hai kai hafton se in front of near the flyovver ramp in Liaquatabad near a maternity home, & it is urgent bcz a school is right beisde it",electricity,high,train,Electricity & Streetlights,1
the electricity feeder for our lane trips every time an appliance is switched on; this situation at Surjani Town Gali No 7 has continued since this morning. we have been waiting for a response for a while now Regards.,electricity,medium,test,Electricity & Streetlights,0
broken road with loose gravel everywhere at phase 2 pechs this has been the case since the last monsoon a child was injured here yesterday and we fear a worse accident !!!!,road,critical,train,Roads & Infrastructure,0
"TO THE CONCERNED DEPARTMENT, POLICE GASHT BILKUL NAHI HOTI AT BLOCK 13-D, MANGHOPIR, FOR THE LAST THREE DAYS. THIS IS A MINOR ISSUE, WHENEVER IT IS CONVENIENT THANK YOU.",safety,low,train,Public Safety,1
kindly send someone to look at it in the next few days yahan mobile snatching bohot ho rahi hai at near the vegetable market in Korangi. Kindly resolve it soon !!!!,safety,medium,train,Public Safety,1
"THERE IS NO ELECTRICITY IN OUR BLOCK. LOCATION: GADAP TOWN. PLEASE TREAT THIS AS URGENT, THE SITUATION IS GETTING WORSE DAILY. DENGUE AND GASTRO CASES HAVE STARTED APPEARING IN THE AREA WE REQUEST IMMEDIATE ATTENTION.",electricity,high,train,Electricity & Streetlights,0
"the public library has been closed since last year with no explanation at street 14, jamshed road near aga khan hospital and nobody has come to check since ramzan. the entire street of about forty houses is affected",other,high,train,General Administration,0
"unannounceed load shedding is running for eight hours a day at Lane 3, Shah Faisal Colony. This has been the case for seeveral months. please ararnge for the concerned staff to check it",electricity,medium,train,Electricity & Streetlights,0
"Respected sir, pain ki line leak ho rahi hai for two dys now at Koranngi Block 13-D. Kindly resolve it soon. Bara meherbani ho gi, jaldi masla hal karain.",water,low,train,Water Supply,1
"for for the last three days now, gali me kooray ka bara dher lag gaya hai around lane 3, saddar. please do the needful.",waste,high,test,Sanitation & Solid Waste,1
"i want to report that manohle ka dhakkan toota hua hai at near the mobile market in pechs near jinnah hospital emergency gate, for several months. dengue and gastro cases have started appearing in the area we request immeiate attention!!",drainage,high,train,Drainage & Sewerage,1
"Please be informed that there is no electricity in our block since this morning at Street 14, Buffer Zone. Kindly resolve it soon.",electricity,medium,train,Electricity & Streetlights,0
"the main waer pipe is leaking badly at Gali No 7, North Nazimabad near a madrassa??!",water,critical,train,Water Supply,0
Kindly note that water is coming with very low pressure at on Tariq Road for two days now there is no urgency plz handle it in the routine schedule This is a minor issue whenever it is convenient plz take action,water,low,train,Water Supply,0
"Assalam o alaikum, people are burning the garbage pile and the smoke enters our homes in front of House 4-B, Bahadurabad near Civil Hospital, and please treat this as urgent, the situation is getting worse daily. The entire street of about forty houses is affected",waste,high,train,Sanitation & Solid Waste,0
"Respected sir, the gutter has been overflowing in front of Gali No 7, DHA Phase 6, and kindly send someone to look at it in the next few days",drainage,medium,train,Drainage & Sewerage,0
"log kachra jala rahe hain, dhuan ghar me aata hai. location: on hub river road. this is an emergency, please send a team today we request immediate attention. bara meherbani ho gi, jaldi masla hal karain.",waste,critical,train,Sanitation & Solid Waste,1
"Respected sir, the pole mounted box is open and children can reach the terminals for almost a month at Street 14, Gulberg Town near a primary school. Shukriya. Again, the pole mounted box is open and children can reach the terminals.",electricity,high,train,Electricity & Streetlights,0
"we the residents of sector 5-c, clifton report that road bilkul toot gayi hai. it is causing inconvenience and should be fixed soon. we would appreciate it if the concerned staff could check it !!!!",road,medium,test,Roads & Infrastructure,1
"sarak par bara gaddha ban gaya hai at Phase 2, Defence View near Jinnah Hospital emergency gate and nobody has come to check for more than 20 days. a large number of residents are suffering because of it",road,high,train,Roads & Infrastructure,1
"our family has been facing this for several days now khula manhole hai, koi bhi gir sakta hai at house 4-b, defence view. we request immediaate attention.",safety,medium,train,Public Safety,1
water is coming with very low pressure at Gadap Town Block A.,water,medium,train,Water Supply,0
"At Lane 3, Saddar, the asphalt has peeled off and the base layer is exposed since this morning. low priority, only mentioning it so it is on record. It is a small issue but plz note it for the record",road,low,train,Roads & Infrastructure,0
"At Street 14, Lyari, the main water pipe is leaking badly since Friday. there is no urgency, just registering it formally",water,low,train,Water Supply,0
"Please be informed that an open manhole in the middle of the walkway is a death trap at on Maripur Road, for two days now. kindly send someone to look at it in the next few days Thank you.",safety,medium,train,Public Safety,0
"At near the petrol pump in Defence View, half the lights on this stretch were never replaced after the storm for the last three days. kidly send someone to look at it in the next few days",electricity,medium,train,Electricity & Streetlights,0
police gasht bilkul nahi hoti at on Korangi Road. This has been the case for the last three days. please look into it in the coming days,safety,medium,train,Public Safety,1
"there are deep potholes all along this stretch at Sector 11-B, Nazimabad near a government girls school and nobody has come to check for several months. please treat this as ugrent, the situation is getting worse daily",road,high,train,Roads & Infrastructure,0
"Assalam o alaikum, construction malba has been dumped on the empty plot near Gadap Town Block 2. it is urgent because a school is right beside it We request immediate attention.",waste,high,train,Sanitation & Solid Waste,0
At near the mobile market in Surjani Town rash driving by mini buses has caused several near misses since yesterday it is causing daily inconvenience to the residents Please arrange for the concerned staff to check it,safety,medium,train,Public Safety,0
"Assalam o alaikum, there are sparks coming from the connection at night in front of near the mobile market in Bahadurabad near Civil Hospital, and elderly pateints live in this lane and cannot setp outside. The entire street of about forty houses is affected",electricity,high,train,Electricity & Streetlights,0
"I want to report that gutter ubal raha hai at Plot 22, Federal B Area near a maternity home, for several months. many families and children are affected by it every single day. Elderly patients live in this lane and cannot step outside Thank you.",drainage,high,train,Drainage & Sewerage,1
"Respected sir, stray dogs and cats tear open the bags and scatter the waste at Plot 22, Lyari, since yesterday. please arrange for the concerned staff to check it Kindly resolve it soon !!!!",waste,medium,train,Sanitation & Solid Waste,0
"a child was injured here yesterday and we fear a worse accident sewage water has entered our lane at Sector 5-C, Landhi near a madrassa. Shukriya. Again, sewage water has entered our lane.",drainage,critical,train,Drainage & Sewerage,0
"Problem area on Sharae Noor Jehan. Details: parking ke naam par zabardasti paise liye ja rahe hain for two days now. Requesting the department to act. Bara meherbani ho gi, jaldi masla hal karain.",other,low,test,General Administration,1
"the water hydrant staff say the supply quota for our area was reduced — Street 14, North Nazimabad. please add it to the regular maintenance list. Not an emergency at all, just a routine request",water,low,test,Water Supply,0
"LOG KACHRA JALA RAHE HAIN, DHUAN GHAR ME AATA HAI AT GULBERG TONW NEAR THE SCHOOL VAN STOP AND NOBODY HAS COME TO CHECK FOR MORE THAN 20 DAYS. THIS HAS BECOME A SERIOUS HEALTH HAZARD FOR THE WHOLE AREA BARA MHEERBANI HO GI, JALDI MASLA HAL KARAIN.",waste,high,train,Sanitation & Solid Waste,1
"transformer bar bar trip kar raha hai at Sector 11-B, Korangi near Civil Hospital and nobody has come to check for several months. a motorcyclist fell and broke his arm last night. An ambulance could not reach the hospital gate because of it Bara meherbani ho gi, jaldi masla hal karain.",electricity,critical,train,Electricity & Streetlights,1
"At near the community centre in Surjani Town, drug users gather here after dark and residents feel unsafe since yesterday. we have complained at the local office twice already with no result. It is causing inconvenience and should be fixed soon",safety,medium,train,Public Safety,0
STRAY DOGS AND CATS TEAR OPEN THE BAAGS AND SCATER THE WASTE AT ON KORANGI ROAD. THIS HAS BEEN THE CASE SINCE YESTERDAY. KINDLY LOOK INTO IT WHENEVER A TEAM IS FREE,waste,low,train,Sanitation & Solid Waste,0
the asphalt has peeled off and the base layer is exposed. Location: near the flyover ramp in Gulistan-e-Johar. we have been waiting for a response for a while now Kindly resolve it soon.,road,medium,train,Roads & Infrastructure,0
manhole ka dhakkan toota hua hai Location: near the bus stop in Model Colony it is causing inconvenience and should be fixed soon Our family has been facing this for several days now Thank you,drainage,medium,train,Drainage & Sewerage,1
yahan mobile snatching bohot ho rahi hai at New Karachi.,safety,medium,train,Public Safety,1
"Kindly note that sarak ki halat bohot kharab hai, gaari nikalna mushkil hai since Friday at near the main mosque in Clifton. We request immediate attention.",road,medium,train,Roads & Infrastructure,1
"Kindly note that manhole ka dhqkkan toota hua hai since yesterday at Lanne 3, Landhi. Thank you. Bara meherbani ho gi, jaldi masla hal karain.",drainage,high,train,Drainage & Sewerage,1
we are forced to buy a private tanker every second day. Location: near a bank branch in Bahadurabad. kindly send someone to look at it in the next few days Thank you.,water,medium,train,Water Supply,0
"REPORTING AN ISSUE - THE FOLLOWING PROBLEM AT NEAR THE MAIN MOSQUE IN SITE AREA: METER READING GALAT LAGAI JA RAHI HAI. IT HAS BECOME A SERIOUS HEALTH HAZARD FOR THE ENTIRE BLOCK AGAIN, METER READING GALAT LAGAI JA RAHI HAI.",electricity,high,test,Electricity & Streetlights,1
Please be informed that the road has caved in after the rain near near the union council office in Lyari. we have complained at the local office twice already with no result Please take action.,road,medium,train,Roads & Infrastructure,0
"Assalam o alaikum, the gutter has been overflowing at near the katchi abadi in Saddar, since yesterday. it is causing inconvenience and should be fixed soon We request immediate attention!!!",drainage,medium,train,Drainage & Sewerage,0
"Please be informed that people are burning the garbage pile and the smoke enters our homes in front of on Khayaban-e-Ittehad, and the entire street of about forty houses is affected",waste,high,train,Sanitation & Solid Waste,0
Assalam o alaikum the newly laid patch has already sukn in the middle at Block 13-D Orangi Town since yeserday it is causing inconvenience and should be fixed soon Kindly resolve it soon Again the newly laid patch has already sunk in the middle,road,medium,train,Roads & Infrastructure,0
"hum ko roz tanker mangwana par raha hai at Phase 2, Jamshed Road and nobody has come to check since this morning. our family has been facing this for several days now!!!",water,medium,train,Water Supply,1
"road pe khudai kar ke chor di gayi hai at on Sharae Noor Jehan. This has been the case since Friday. it is causing inconvenience and should be fixed soon Bara meherbani ho gi, jaldi masla hal karain.",road,medium,train,Roads & Infrastructure,1
the sewerage line is choked and dirty water is on the street at on Korangi Road.,drainage,high,train,Drainage & Sewerage,0
"loudspeakers from a marriage hall run past midnight every weekend at near the union council office in Malir. This has been the case for the last three days. this is a minor issue, whenever it is convenient. This is only a suggestion for improvement",other,low,train,General Administration,0
"speed breaker toota hua hai at on Shahrah-e-Faisal. Bara meherbani ho gi, jaldi masla hal karain??!",road,high,train,Roads & Infrastructure,1
"Location Gulshan-e-Iqbal Block 13-D near a madrassa - yahan mobile snatching bohot ho rahi hai, ongoing for more than 20 days. it is urgent because a school is right beside it Please do the needful.",safety,high,test,Public Safety,1
"kachra utha nahi hai kai din se at on I.I. Chundrigar Road and nobody has come to check for almost a month. an elderly man fell into it and had to be taken to emergency Bara meherbani ho gi, jaldi masla hal karain.",waste,critical,train,Sanitation & Solid Waste,1
"Kindly note that the booster pump at the hydrant has stopped working in front of Plot 22, Gulistan-e-Johar near the school van stop, and the entire street of about forty houses is affected. There is a government school right next to it and hundreds of children pass daily",water,high,train,Water Supply,0
"bijli nahi aa rahi hamare block me at near the petrol pump in DHA Phase 6 and nobody has come to check for two days now. we have complained at the local office twice already with no result Bara meherbani ho gi, jaldi masla hal karain.",electricity,medium,train,Electricity & Streetlights,1
"the garbage container is overflowing onto the road at near the vegetable market in Manghopir. This has been the case for two days now. we have complained at the local office twice already with no result. Please arrange for the concerned staff to check it Again, the garbage container is overflowing onto the road.",waste,medium,train,Sanitation & Solid Waste,0
an illegal gas cylinder refilling shop could explode any day in the crowded market. Location: near the petrol pump in North Nazimabad. it is causing daily inconvenience to the residents We request immediate attention.,safety,medium,train,Public Safety,0
"it is causing daily inconvenience to the residents the drain is blocked and the water is not going anywhere at Plot 22, Garden East. Shukriya??!",drainage,medium,train,Drainage & Sewerage,0
"Assalam o alaikum, the road is uneven and bikes lose balance on it in front of on Sir Shah Suleman Road, and it is causing inconvenience and should be fixed soon",road,medium,train,Roads & Infrastructure,0
reporting from lyari near civil hospital: whatever comes out of the tap is yellow and undrinkable,water,high,test,Water Supply,0
"To the concerned department, the newly laid patch has already sunk in the middle at House 4-B, Gulberg Town, since yesterday. there is no urgency, just registering it formally Please take action.",road,low,train,Roads & Infrastructure,0
"we have been waiting for a response for a while now there is rotting waste and an unbearable smell at Gali No 7, Clifton. Kindly resolve it soon!!!",waste,medium,train,Sanitation & Solid Waste,0
the road tarmac is cracked into pieces and loose stones are flying up — near the community centre in Clifton near the school van stop. it has become a serious health hazard for the entire block,road,high,test,Roads & Infrastructure,0
REPORTING FROM NEAR THE VEGETABLE MARKET IN GULSHAN-E-IQBAL: THE WATER SUB-LINE TO OUR BLOCK APPEARS TO HAVE BEEN DISCONNECTED.,water,low,test,Water Supply,0
"broken road with loose gravel everywhere at Street 14, Manghopir.",road,medium,train,Roads & Infrastructure,0
"Assalam o alaikum, shadi hall ke loudspeaker raat bhar chalte hain near Federal B Area Phase 2 near Ziauddin Hospital. part of the structure has already collapsed We request immediate attention.",other,critical,train,General Administration,1
"the kachra kundi was removed & now everyone dumps in the open. Location: Block 5, Nazimabad near the children's park. dengue & gastro cases have started appearing in the area Please taek actioon.",waste,high,train,Sanitation & Solid Waste,0
"safai bilkul nahi hoti yahan. Location: near the community centre in Buffer Zone. kindly look into it whenever a team is free. This is a minor issue, whenever it is convenient Kindly resolve it soon. Bara meherbani ho gi, jaldi masla hal karain!!!",waste,low,train,Sanitation & Solid Waste,1
"At near the community centre in DHA Phase 6, drug users gather here after dark and residents feel unsafe for almost a month. a live wire is lying in the standing water. This is an emergency, please send a team today",safety,critical,train,Public Safety,0
Assalam o alaikum the newly laid patch has already sunk in the middle for several months at Gulistan-e-Jhar Phase 2 near a government girls school Kindly resolve it soon,road,critical,train,Roads & Infrastructure,0
"reporting an issue - the following problem at block 5, lyari: the electricity feeder for our lane trips every time an appliance is switched on. kindly send someone to look at it in the next few days. it is affecting a few households on our side of the lane again, the electricity feeder for our lane trips every time an appliance is switched on.",electricity,medium,test,Electricity & Streetlights,0
"At near a bank branch in Gulberg Town near a madrassa, the public library has been closed since last year with no explanation for the past six weeks. it is on the main road and traffic jams for hours every morning. The entire street of about forty houses is affected",other,high,train,General Administration,0
"AT ON KHAYABAN-E-ITTEHAD, STREET LIGHT BAND HAI KAI HAFTON SE FOR TWO DAYS NOW. WE HAVE BEEN WAITING FOR A RESPONSE FOR A WHILE NOW",electricity,medium,train,Electricity & Streetlights,1
road bilkul toot gayi hai. Location: near the bus stop in Shah Faisal Colony. please look into it in the coming days Please take action.,road,medium,train,Roads & Infrastructure,1
"To the concerned department, sarak par bara gaddha ban gaya hai near on Nishtar Road. a motorcyclist fell and broke his arm last night Kindly resolve it soon.",road,critical,train,Roads & Infrastructure,1
"Janab, residents near near the mobile market in Liaquatabad are affected because shopkeepers throw their leftovers directly onto the pavement here. it is affecting a few households on our side of the lane Requesting the department to act.",waste,medium,test,Sanitation & Solid Waste,0
